Ticker,2023_MarketCap
KSS,2655113728
KTCC,46491408
KTOS,2671966464
KURA,1494663424
KVHI,94300320
KW,1184689920
KWR,3356010496
KZR,60024756
L,16688710656
LAD,6971665408
LADR,1372238208
LAKE,122002128
LAMR,11841028096
LANC,5251281920
LAND,457027776
LARK,98529664
LASR,541741440
LAUR,2249819904
LAZ,3472873216
LBAI,794233344
LBC,466804608
LBRDA,7137960448
LBRDK,7111937536
LBRT,3666343936
LBTYA,6082714624
LBTYK,6059765248
LC,835622400
LCII,2646093568
LCNB,205752848
LCUT,199326048
LDOS,18933346304
LE,430810560
LEA,7168561152
LECO,12493078528
LEE,76051824
LEG,2417928704
LEGH,497056544
LEN,41808605184
LEU,686751232
LEVI,8446174720
LFUS,5748217856
LFVN,78497848
LGIH,2120297600
LGL,30626440
LGND,1255112576
LH,16975491072
LIFE,106667056
LII,16509106176
LILA,1544103296
LILAK,1544056320
LIN,212355743744
LINC,335215424
LIND,392171808
LIQT,15737892
LITE,2949423872
LIVE,80695168
LIVN,3018923776
LKFN,1526051200
LKQ,11506049024
LL,45082300
LLY,742643335168
LMAT,1454500864
LMFA,6108001
LMNR,356136928
LMT,111554371584
LNC,4636363264
LNG,36402921472
LNN,1282098560
LNT,12767624192
LNTH,4561410048
LOAN,57765436
LOB,1452418816
LOCO,265682576
LODE,34025664
LOOP,134982064
LOPE,3872619776
LOVE,343561536
LOW,130454061056
LPCN,24707482
LPG,1677306880
LPLA,20104200192
LPSN,44134796
LPTH,53991240
LPX,5292464128
LQDA,976957248
LQDT,530215136
LRCX,116936056832
LRN,2887264512
LSBK,66000292
LSCC,9435243520
LSTR,6237250560
LSXMA,7852173824
LSXMK,7870603264
LTBR,34574920
LTC,1436950400
LTRPA,145615968
LTRX,140912768
LULU,45438484480
LUNA,71475816
LUV,15523948544
LVS,33050284032
LW,12033546240
LWAY,300430976
LXP,2464218624
LXRX,379204960
LXU,672161216
LYB,32552433664
LYFT,6304781312
LYTS,424426400
LYV,20520251392
LZB,1400291072
M,5071143424
MA,419675111424
MAA,15583229952
MAC,3096178944
MACK,214198736
MAN,3650308608
MANH,12687093760
MAR,68066603008
MARA,4298298368
MARK,5846426
MAS,15075700736
MASI,7112063488
MAT,6303160832
MATW,827800320
MATX,3717095168
MAYS,92900240
MBCN,173244432
MBI,322525408
MBIN,1748495104
MBIO,2576744
MBOT,13283078
MBUU,695055808
MBWM,581689024
MC,3453008896
MCB,444322400
MCBC,481062400
MCD,196863213568
MCFT,344593760
MCHP,49704886272
MCHX,57803988
MCK,70593691648
MCO,67608182784
MCRB,149589504
MCRI,1276109056
MCS,419299904
MCY,2893693696
MD,745310592
MDB,26596462592
MDC,4726503936
MDGL,4278626048
MDLZ,96768655360
MDRX,860043584
MDT,106544275456
MDU,5036033536
MED,301101120
MEDP,12032403456
MEI,431410176
MEIP,20321722
MERC,677187456
MESA,37656888
MET,50688499712
MFA,1081048448
MG,268109632
MGEE,2833296384
MGM,12503110656
MGNX,924644160
MGPI,1726338944
MGRC,2618364416
MGY,5120547328
MGYR,75788264
MHH,103230000
MHK,7364692480
MHLD,298170080
MHO,3225302528
MIDD,7471513600
MIND,8575258
MITK,590965312
MITT,163167408
MKC,20413134848
MKL,19013599232
MKSI,7978263552
MKTX,7576947712
MLAB,572200832
MLI,6340984320
MLM,36233080832
MLP,383385856
MLR,558703680
MLSS,47493300
MMC,98263941120
MMI,1224061312
MMM,53404872704
MMS,4899600896
MMSI,4302586880
MNKD,1112835968
MNOV,63269596
MNR,1961750016
MNRO,814832256
MNST,55680466944
MNTX,105622848
MO,75249369088
MOD,4836008448
MODN,1168891904
MOFG,317687584
MOH,20041519104
MORN,12082043904
MOS,10097817600
MOTS,395974
MOV,563561920
MPAA,111682432
MPB,335285952
MPC,65480257536
MPW,2767355136
MPWR,32570267648
MPX,372841184
MRAM,158658144
MRC,956871232
MRCY,1674121216
MRIN,8521667
MRK,327318110208
MRKR,36056748
MRNS,77452712
MRO,15344157696
MRSN,384530528
MRTN,1376656896
MRVL,57078063104
MS,147763068928
