Ticker,2023_PE,Gsector
EVER,-106.1579,Communication Services
EVFM,-0.025454545,Healthcare
EVH,16.511906,Healthcare
EVI,,Industrials
EVOK,15.0,Healthcare
EVOL,,Technology
EVR,12.06782,Financial Services
EVRG,13.014888,Utilities
EVRI,8.009804,Consumer Cyclical
EVTC,11.76489,Technology
EW,27.137821,Healthcare
EWBC,8.867857,Financial Services
EXAS,989.1667,Healthcare
EXC,14.343513,Utilities
EXEL,15.959183,Healthcare
EXLS,15.760869,Technology
EXP,15.57205,Basic Materials
EXPD,22.041582,Industrials
EXPE,8.747889,Consumer Cyclical
EXPI,55.333332,Real Estate
EXPO,45.053925,Industrials
EXPR,-0.12575758,Consumer Cyclical
EXR,27.743801,Real Estate
EXTR,13.493976,Technology
EYE,22.050632,Consumer Cyclical
EYPT,-6.1971836,Healthcare
EZPW,9.22689,Financial Services
F,6.2953367,Consumer Cyclical
FAF,10.223283,Financial Services
FANG,9.873834,Energy
FARM,-12.4,Consumer Defensive
FARO,18.028847,Technology
FAST,29.411257,Industrials
FATE,-2.1823206,Healthcare
FBIO,-0.3568376,Healthcare
FBIZ,6.347409,Financial Services
FBK,11.709266,Financial Services
FBMS,9.0,Financial Services
FBNC,10.745584,Financial Services
FBP,9.324325,Financial Services
FC,18.19626,Consumer Defensive
FCAP,,Financial Services
FCBC,14.552632,Financial Services
FCCO,8.983696,Financial Services
FCEL,-3.7112,Industrials
FCF,9.096551,Financial Services
FCFS,14.034782,Financial Services
FCN,22.461134,Industrials
FCNCA,8.717106,Financial Services
FCPT,20.9375,Real Estate
FCX,22.803652,Basic Materials
FDBC,,Financial Services
FDP,9.796935,Consumer Defensive
FDS,23.822287,Financial Services
FDX,12.301691,Industrials
FE,13.405595,Utilities
FEIM,,Technology
FELE,20.396187,Industrials
FET,8.755868,Energy
FF,6.775,Basic Materials
FFBC,9.2125,Financial Services
FFIC,9.666667,Financial Services
FFIN,19.070969,Financial Services
FFIV,11.9185295,Technology
FFNW,37.036366,Financial Services
FFWM,6.682927,Financial Services
FGBI,12.4777775,Financial Services
FGEN,-2.5454545,Healthcare
FHB,11.782124,Financial Services
FHN,8.934132,Financial Services
FI,15.10089,Technology
FIBK,10.308881,Financial Services
FICO,38.52243,Technology
FIS,12.79096,Technology
FISI,5.5728154,Financial Services
FITB,10.241573,Financial Services
FIVE,20.353268,Consumer Cyclical
FIVN,21.889732,Technology
FIX,22.388569,Industrials
