,2020_NI,2021_NI,2022_NI,2023_NI,2024_NI
BLD,247023000.0,324016000.0,555989000.0,614254000.0,
BLDR,313537000.0,1725416000.0,2749369000.0,1540555000.0,
BLFS,1983000.0,-8908000.0,-139805000.0,-66427000.0,
BLK,4932000000.0,5901000000.0,5178000000.0,5502000000.0,
BLKB,7717000.0,5698000.0,-45407000.0,1820000.0,
BLMN,-158715000.0,215555000.0,101907000.0,247386000.0,
BLUE,-618695000.0,-819378000.0,-266578000.0,,
BMI,49343000.0,60884000.0,66496000.0,92598000.0,
BMRC,30242000.0,33228000.0,46586000.0,19895000.0,
BMRN,854029000.0,-64080000.0,141561000.0,167645000.0,
BMY,-9015000000.0,6994000000.0,6327000000.0,8025000000.0,
BNED,,-139810000.0,-68857000.0,-101862000.0,
BOH,153804000.0,253372000.0,225804000.0,171202000.0,
BOKF,435030000.0,618121000.0,520273000.0,530746000.0,
BOOM,-1412000.0,-4626000.0,14184000.0,21389000.0,
BOOT,,59386000.0,192450000.0,170553000.0,
BOTJ,4980000.0,7589000.0,8959000.0,8704000.0,
BOX,,-43433000.0,-41459000.0,26783000.0,129032000.0
BPMC,313882000.0,-644085000.0,-557517000.0,-506984000.0,
BPOP,506622000.0,934889000.0,1102641000.0,541342000.0,
BPRN,13806000.0,22486000.0,26494000.0,25765000.0,
BPTH,-10882000.0,-10440000.0,-13868000.0,-16078000.0,
BR,462500000.0,547500000.0,539100000.0,630600000.0,
BRC,112369000.0,129659000.0,149979000.0,174857000.0,
BRID,7323000.0,-5503000.0,45066000.0,3474000.0,
BRKL,47635000.0,115440000.0,109744000.0,74999000.0,
BRKR,157800000.0,277100000.0,296600000.0,427200000.0,
BRN,-4756000.0,6253000.0,5513000.0,-961000.0,
BRO,480500000.0,587100000.0,671800000.0,870500000.0,
BRT,-19862000.0,29114000.0,49955000.0,3873000.0,
BRX,121173000.0,270187000.0,354193000.0,305087000.0,
BRY,-262895000.0,-15542000.0,250168000.0,37400000.0,
BSET,-10421000.0,18042000.0,65345000.0,-3171000.0,
BSGM,-52218000.0,-31917000.0,-27052000.0,-29041000.0,
BSRR,35444000.0,43012000.0,33659000.0,34844000.0,
BSX,-82000000.0,1041000000.0,698000000.0,1593000000.0,
BTU,-1870300000.0,360100000.0,1297100000.0,759600000.0,
BURL,,-216499000.0,408839000.0,230123000.0,339649000.0
BUSE,100344000.0,123449000.0,128311000.0,122565000.0,
BV,-41600000.0,46300000.0,14000000.0,-7700000.0,
BW,-10318000.0,30894000.0,-22861000.0,-197208000.0,
BWA,500000000.0,537000000.0,944000000.0,625000000.0,
BWEN,-1487000.0,2847000.0,-9730000.0,7649000.0,
BWFG,5904000.0,26586000.0,37429000.0,36663000.0,
BWXT,278670000.0,305871000.0,238191000.0,245849000.0,
BXC,80882000.0,296133000.0,296176000.0,48536000.0,
BXMT,137670000.0,419193000.0,248642000.0,246555000.0,
BXP,872727000.0,505195000.0,848947000.0,190215000.0,
BY,37467000.0,92785000.0,87954000.0,107878000.0,
BYD,-134700000.0,463846000.0,639377000.0,620023000.0,
BYFC,-642000.0,-4050000.0,5636000.0,,
BYND,-52752000.0,-182105000.0,-366137000.0,-338144000.0,
BZH,52226000.0,122021000.0,220704000.0,158611000.0,
C,11047000000.0,21952000000.0,14845000000.0,9228000000.0,
CABO,304391000.0,291824000.0,234118000.0,267436000.0,
CAC,59486000.0,69014000.0,61439000.0,43383000.0,
CACC,421000000.0,958300000.0,535800000.0,286100000.0,
CACI,321480000.0,457443000.0,366794000.0,384735000.0,
CADE,228051000.0,195162000.0,463237000.0,542304000.0,
CAG,840100000.0,1298800000.0,888200000.0,683600000.0,
CAH,-3696000000.0,611000000.0,-933000000.0,261000000.0,
CAKE,-253365000.0,72373000.0,43123000.0,101351000.0,
CAL,,-439114000.0,137019000.0,181742000.0,171391000.0
CALA,-90137000.0,-115088000.0,-39650000.0,,
CALM,18391000.0,2060000.0,132650000.0,758024000.0,
CALX,33484000.0,238378000.0,41010000.0,29325000.0,
CAMP,,-56309000.0,-27991000.0,-32490000.0,
CAPR,-13657028.0,-20022520.0,-29019532.0,-22287542.0,
CAR,-684000000.0,1285000000.0,2764000000.0,1632000000.0,
CARA,8410000.0,-88441000.0,-85474000.0,-118513000.0,
CARG,77553000.0,109244000.0,84387000.0,36942000.0,
CARS,-817120000.0,10791000.0,17206000.0,118442000.0,
CASA,24801000.0,3207000.0,-79205000.0,,
CASH,104720000.0,141708000.0,156386000.0,163615000.0,
CASI,-48287000.0,-36654000.0,-41014000.0,-26938000.0,
CASS,25176000.0,28604000.0,34904000.0,30059000.0,
CASY,,312900000.0,339790000.0,446691000.0,
CAT,2998000000.0,6489000000.0,6705000000.0,10335000000.0,
CATC,31959000.0,54024000.0,52909000.0,34109000.0,
CATO,,-47483000.0,36844000.0,29000.0,-23941000.0
CATY,228860000.0,298304000.0,360642000.0,354124000.0,
CB,3533000000.0,8525000000.0,5246000000.0,9028000000.0,
CBAN,11815000.0,18659000.0,19542000.0,21747000.0,
CBAY,-50986000.0,-89998000.0,-106001000.0,-105370000.0,
CBFV,-10640000.0,11570000.0,11247000.0,22550000.0,
CBOE,468200000.0,529000000.0,235000000.0,761400000.0,
CBRE,751989000.0,1837000000.0,1407000000.0,986000000.0,
CBRL,-32475000.0,254513000.0,131880000.0,99050000.0,
CBSH,354057000.0,530765000.0,488399000.0,477060000.0,
CBT,-238000000.0,250000000.0,209000000.0,445000000.0,
CBU,164676000.0,189694000.0,188081000.0,131924000.0,
CBZ,78299000.0,70887000.0,105354000.0,120968000.0,
CC,219000000.0,608000000.0,578000000.0,-238000000.0,
CCBG,31576000.0,33396000.0,33412000.0,52258000.0,
CCI,1056000000.0,1096000000.0,1675000000.0,1502000000.0,
CCK,579000000.0,-560000000.0,727000000.0,450000000.0,
CCL,-10236000000.0,-9501000000.0,-6093000000.0,-74000000.0,
CCNE,32743000.0,57707000.0,63188000.0,58020000.0,
CCO,-582739000.0,-433815000.0,-96604000.0,-310922000.0,
CCOI,6216000.0,48185000.0,5146000.0,1273441000.0,
CCRN,-12962000.0,132002000.0,188461000.0,72631000.0,
CCS,206157000.0,498504000.0,525126000.0,259224000.0,
CDE,25627000.0,-31322000.0,-78107000.0,-103612000.0,
CDLX,-55422000.0,-128565000.0,-465264000.0,-134702000.0,
CDMO,,11212000.0,127672000.0,560000.0,
CDNA,-18714000.0,-30662000.0,-76613000.0,-190284000.0,
CDNS,590644000.0,695955000.0,848952000.0,1041144000.0,
CDTX,-72111000.0,-42467000.0,-33584000.0,-22931000.0,
CDW,788500000.0,988600000.0,1114500000.0,1104300000.0,
CDXC,-19925000.0,-27128000.0,-16540000.0,-4938000.0,
CDXS,-24010000.0,-21279000.0,-33592000.0,-76240000.0,
