Ticker,2020_2021_NI_Grow,2021_2022_NI_Grow,2022_2023_NI_Grow,2023_PE,Average_Growth,Growth_Rate
BHVN,80.1631,166.7398,-28.4266,-6.715266,72.82543333333332,Not Ideal
BIG,,-71.745,-218.5231,-0.52414155,-145.13405,Not Ideal
BIIB,-61.1033,95.8036,-61.8924,12.504608,-9.064033333333333,Not Ideal
BIO,11.5365,-185.2684,-82.4309,22.78125,-85.3876,Not Ideal
BIOL,-3.9872,77.2125,-27.9458,-1.3636364,15.093166666666669,Not Ideal
BJ,,1.3353,20.28,17.512762,10.80765,Not Ideal
BJRI,-93.7704,-213.0338,382.3356,22.228188,25.17713333333332,Not Ideal
BK,3.9259,-31.5509,27.7108,9.424217,0.028599999999999664,Not Ideal
BKD,-221.0573,140.1319,-20.7258,-12.172414,-33.88373333333333,Not Ideal
BKE,,95.806,-0.0761,9.147561,47.86495,Not Ideal
BKH,3.9946,9.1677,1.4706,13.230486,4.877633333333333,Not Ideal
BKNG,1874.5763,162.4893,40.2551,17.100454,692.4402333333333,Not Ideal
BKSC,4.3995,-1.3303,,,1.5345999999999997,Not Ideal
BKTI,-976.8041,583.8918,-80.8304,4.1982245,-157.91423333333333,Not Ideal
BKU,109.7436,-31.3296,-37.302,8.615142,13.704,Not Ideal
BL,145.4883,-74.4783,-279.7591,27.660465,-69.58303333333333,Not Ideal
BLBD,-102.3718,15733.564,-152.0379,13.467872,5159.7181,Not Ideal
BLCM,25.6799,157.321,,-0.07786459,91.50045,Not Ideal
BLD,31.1684,71.5931,10.4795,18.03459,37.74700000000001,Not Ideal
