Ticker,2020_NI,2021_NI,2022_NI,2023_NI,2020_Div,2021_Div,2022_Div,2023_Div,2020_2021_Div_Grow,2021_2022_Div_Grow,2022_2023_Div_Grow
BRT,-19862000.0,29114000.0,49955000.0,3873000.0,0.88,0.9,0.98,1.0,0.0227272727272727,0.0888888888888888,0.0204081632653061
BRX,121173000.0,270187000.0,354193000.0,305087000.0,0.57,0.86,0.96,1.04,0.5087719298245615,0.1162790697674418,0.0833333333333334
BSRR,35444000.0,43012000.0,33659000.0,34844000.0,0.8,0.86,0.92,0.92,0.0749999999999999,0.0697674418604651,0.0
BUSE,100344000.0,123449000.0,128311000.0,122565000.0,0.88,0.92,0.92,0.96,0.0454545454545455,0.0,0.0434782608695651
BWFG,5904000.0,26586000.0,37429000.0,36663000.0,0.56,0.64,0.8,0.8,0.1428571428571427,0.25,0.0
BWXT,278670000.0,305871000.0,238191000.0,245849000.0,0.76,0.84,0.88,0.92,0.1052631578947368,0.0476190476190476,0.0454545454545455
BXMT,137670000.0,419193000.0,248642000.0,246555000.0,2.48,2.48,2.48,2.48,0.0,0.0,0.0
BXP,872727000.0,505195000.0,848947000.0,190215000.0,3.92,3.92,3.92,3.92,0.0,0.0,0.0
BY,37467000.0,92785000.0,87954000.0,107878000.0,0.12,0.3,0.36,0.36,1.5,0.2,0.0
C,11047000000.0,21952000000.0,14845000000.0,9228000000.0,2.04,2.04,2.04,2.08,0.0,0.0,0.0196078431372549
CABO,304391000.0,291824000.0,234118000.0,267436000.0,9.5,10.5,11.2,11.6,0.1052631578947368,0.0666666666666666,0.0357142857142857
CAC,59486000.0,69014000.0,61439000.0,43383000.0,1.32,1.41,1.6,1.68,0.068181818181818,0.1347517730496455,0.0499999999999999
CAG,840100000.0,1298800000.0,888200000.0,683600000.0,0.914,1.1760000000000002,1.286,1.36,0.2866520787746172,0.0935374149659862,0.057542768273717
CAH,-3696000000.0,611000000.0,-933000000.0,261000000.0,1.939,1.959,1.979,1.999,0.0103145951521402,0.0102092904543134,0.0101061141990904
CASH,104720000.0,141708000.0,156386000.0,163615000.0,0.2,0.2,0.2,0.2,0.0,0.0,0.0
CASS,25176000.0,28604000.0,34904000.0,30059000.0,1.08,1.09,1.13,1.17,0.0092592592592592,0.0366972477064218,0.0353982300884956
CAT,2998000000.0,6489000000.0,6705000000.0,10335000000.0,4.12,4.28,4.62,5.0,0.0388349514563107,0.0794392523364485,0.0822510822510822
CATC,31959000.0,54024000.0,52909000.0,34109000.0,2.12,2.38,2.56,2.68,0.1226415094339621,0.0756302521008404,0.046875
CATY,228860000.0,298304000.0,360642000.0,354124000.0,1.24,1.27,1.36,1.36,0.0241935483870967,0.0708661417322835,0.0
CB,3533000000.0,8525000000.0,5246000000.0,9028000000.0,3.09,3.18,3.29,3.41,0.0291262135922331,0.0345911949685534,0.0364741641337386
CBAN,11815000.0,18659000.0,19542000.0,21747000.0,0.4,0.412,0.432,0.44,0.0299999999999998,0.0485436893203884,0.0185185185185185
CBFV,-10640000.0,11570000.0,11247000.0,22550000.0,0.96,0.96,0.96,1.0,0.0,0.0,0.0416666666666667
CBOE,468200000.0,529000000.0,235000000.0,761400000.0,1.56,1.7999999999999998,1.96,2.1,0.1538461538461537,0.0888888888888889,0.0714285714285715
CBSH,354057000.0,530765000.0,488399000.0,477060000.0,0.944606,0.966123,1.009524,1.028429,0.0227788093660213,0.044922851438171,0.0187266474100664
CBT,-238000000.0,250000000.0,209000000.0,445000000.0,1.4,1.42,1.48,1.57,0.0142857142857143,0.0422535211267606,0.0608108108108108
CBU,164676000.0,189694000.0,188081000.0,131924000.0,1.66,1.7,1.74,1.78,0.0240963855421686,0.0235294117647059,0.0229885057471264
CC,219000000.0,608000000.0,578000000.0,-238000000.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
CCBG,31576000.0,33396000.0,33412000.0,52258000.0,0.5700000000000001,0.62,0.66,0.76,0.0877192982456139,0.0645161290322581,0.1515151515151514
CCI,1056000000.0,1096000000.0,1675000000.0,1502000000.0,4.93,5.46,5.975,6.26,0.1075050709939148,0.0943223443223442,0.0476987447698745
CCNE,32743000.0,57707000.0,63188000.0,58020000.0,0.68,0.685,0.7,0.7,0.0073529411764705,0.0218978102189779,0.0
CCOI,6216000.0,48185000.0,5146000.0,1273441000.0,2.775,3.17,3.555,3.76,0.1423423423423423,0.1214511041009464,0.0576652601969056
CDW,788500000.0,988600000.0,1114500000.0,1104300000.0,1.54,1.7000000000000002,2.09,2.39,0.1038961038961039,0.2294117647058821,0.1435406698564594
CE,1985000000.0,1890000000.0,1894000000.0,1960000000.0,2.48,2.72,2.74,2.8,0.0967741935483871,0.0073529411764705,0.0218978102189779
CF,317000000.0,917000000.0,3346000000.0,1525000000.0,1.2,1.2,1.5,1.6,0.0,0.25,0.0666666666666667
CFBK,29608000.0,18453000.0,18164000.0,16937000.0,0.03,0.13,0.18,0.2299999999999999,3.333333333333333,0.3846153846153845,0.2777777777777773
CFFI,22117000.0,28667000.0,29159000.0,23604000.0,1.52,1.58,1.64,1.76,0.0394736842105263,0.0379746835443036,0.0731707317073171
