Ticker,2023_MarketCap
INVA,968933120
INVE,117354936
INVH,21146044416
IONS,6106571776
IOR,69882072
IOSP,2993117184
IOVA,3466199808
IP,12088890368
IPAR,3730528000
IPG,11694482432
IPGP,3859102208
IPI,266720880
IPWR,59710772
IQV,42675912704
IR,37819207680
IRBT,242424048
IRDM,3903942656
IRIX,46808064
IRM,22729594880
IRMD,518649632
IROQ,54747560
IRT,3665147904
IRTC,3381918976
IRWD,1247812352
ISDR,43684152
ISRG,131861946368
ISSC,114712200
ISTR,162673824
IT,33293211648
ITCI,7617693184
ITGR,3786253312
ITI,190696224
ITIC,305091136
ITRI,4418919936
ITT,10880557056
ITW,73724289024
IVAC,112982424
IVR,417552288
IVZ,6436638208
IZEA,46564840
JACK,1138569728
JAGX,69996488
JAKK,204800288
JAZZ,7019448320
JBGS,1415119360
JBHT,16768996352
JBL,14423401472
JBLU,1998293120
JBSS,1157341952
JBT,2864877056
JCI,44753907712
JCTCF,18506746
JEF,9177264128
JELD,1771068544
JHG,5050256384
JILL,275681056
JJSF,2642048256
JKHY,11907310592
JLL,8730953728
JNJ,350671175680
JNPR,11455826944
JOB,35231252
JOE,3383259136
JOUT,416489856
JPM,558391754752
JRVR,329810464
JVA,9247932
JWN,3167205120
JYNT,183858480
K,19893790720
KAI,3297288960
KALA,18968792
KALU,1505485952
KALV,469977664
KAMN,1307481984
KAR,1873083136
KBH,4970927616
KBR,8825027584
KDP,45431930880
KE,529216608
KELYA,822093888
KEQU,99190952
KEX,6335917568
KEY,13854093312
KEYS,26165944320
KFFB,30648668
KFRC,1211384704
KFY,3170729728
KHC,46613721088
KIDS,682188224
KIM,12751225856
KINS,51531912
KIRK,24819212
KKR,84228268032
KLAC,96171999232
KLIC,2658173184
KLXE,115245584
KMB,45627432960
KMI,40803299328
KMPR,3727587072
KMT,1894548224
KMX,10740156416
KN,1446678272
KNSA,1324806272
KNSL,8519627776
KNX,7448275456
KO,267336892416
KOD,173627856
KODK,363227744
KOP,1109701888
KOPN,97501776
KOS,2694902528
KPTI,123442320
KR,40111419392
KRC,4082910720
KREF,656056128
KRG,4889609216
KRNY,343449216
KRO,1321660160
KRYS,4443271680
KSS,2641793792
KTCC,46921884
KTOS,2736441600
KURA,1545704448
KVHI,95675528
KW,1186758528
KWR,3388395776
KZR,60672688
