Ticker,2023_MarketCap,Market_Cap_Cat
D,42595790848,large-cap
DAIO,26079426,micro-cap
DAKT,420899456,small-cap
DAL,32620572672,large-cap
DAN,1785059200,small-cap
DAR,6934452224,mid-cap
DARE,35002536,micro-cap
DBD,1213028736,small-cap
DBI,534340064,small-cap
DBX,8099244544,mid-cap
DCI,8767677440,mid-cap
DCO,791358272,small-cap
DCOM,724913856,small-cap
DCPH,2078262144,mid-cap
DD,30707533824,large-cap
DDD,463644544,small-cap
DDS,7088009216,mid-cap
DE,109879042048,large-cap
DEA,1188499584,small-cap
DECK,21280991232,large-cap
DEI,2741866752,mid-cap
DELL,89566371840,large-cap
DENN,424991520,small-cap
DFIN,1865961344,small-cap
DFS,31896924160,large-cap
DG,30779203584,large-cap
DGICA,443846304,small-cap
DGII,1118516096,small-cap
DGLY,5965598,micro-cap
DGX,15376798720,large-cap
DHI,47467032576,large-cap
DHIL,423693792,small-cap
DHR,181638660096,large-cap
DHX,113347728,micro-cap
DIN,694612352,small-cap
DIOD,3410289664,mid-cap
DIS,204120899584,mega-cap
DIT,98853376,micro-cap
DJCO,468203968,small-cap
DK,1798942336,small-cap
DKS,16753083392,large-cap
DLA,16993976,micro-cap
DLB,7513449472,mid-cap
DLHC,152126176,micro-cap
DLR,45019111424,large-cap
DLTH,148658544,micro-cap
DLTR,25687117824,large-cap
DLX,874863488,small-cap
DMRC,466579136,small-cap
DNLI,2199392256,mid-cap
DNOW,1563717760,small-cap
DOC,13382414336,large-cap
DOCU,11549778944,large-cap
DOMO,285994624,small-cap
DOOR,2914089472,mid-cap
DORM,2729512192,mid-cap
DOV,24973778944,large-cap
DOW,40437862400,large-cap
DPZ,18851354624,large-cap
DRH,1910598400,small-cap
DRI,18468179968,large-cap
DRQ,650362112,small-cap
DRRX,29751110,micro-cap
DSKE,391290496,small-cap
DSS,12156257,micro-cap
DTE,22749618176,large-cap
DUK,75714936832,large-cap
DVA,12174875648,large-cap
DVAX,1482677760,small-cap
DVN,32918401024,large-cap
DWSN,50224048,micro-cap
DX,756777792,small-cap
DXC,3646447872,mid-cap
DXCM,50597335040,large-cap
DXLG,192523808,micro-cap
DXPE,800601216,small-cap
DXYN,8231111,micro-cap
DY,4160113152,mid-cap
DZSI,40170752,micro-cap
EA,33969489920,large-cap
EAF,432040544,small-cap
EARN,132494024,micro-cap
EAT,2367918848,mid-cap
EB,532257024,small-cap
EBAY,26355345408,large-cap
EBF,516174368,small-cap
EBMT,102213944,micro-cap
EBS,96996328,micro-cap
EBTC,309167456,small-cap
ECL,65443827712,large-cap
ECPG,983124800,small-cap
ED,32314542080,large-cap
EDIT,435597216,small-cap
EDUC,18513556,micro-cap
EE,1820219776,small-cap
EEFT,4747115008,mid-cap
EEX,346180992,small-cap
EFC,977725632,small-cap
EFOI,7136622,micro-cap
EFSC,1425434496,small-cap
EFX,27985528832,large-cap
EGAN,194704224,micro-cap
EGBN,569458880,small-cap
EGHT,283251200,small-cap
EGLE,693163520,small-cap
EGP,7545054208,mid-cap
EGRX,52156756,micro-cap
EGY,677166592,small-cap
EHC,8324637696,mid-cap
EHTH,126750632,micro-cap
EIG,1081787392,small-cap
EIGR,2552120,micro-cap
EIX,27304587264,large-cap
EKSO,23811124,micro-cap
EL,52896272384,large-cap
ELAN,6625840640,mid-cap
ELF,9351801856,mid-cap
ELMD,136135600,micro-cap
ELOX,3174823,micro-cap
ELS,11784779776,large-cap
ELSE,14226283,micro-cap
EME,17157509120,large-cap
EMKR,21263082,micro-cap
EML,194314144,micro-cap
EMN,11293031424,large-cap
EMR,62592856064,large-cap
ENG,8920883,micro-cap
ENPH,15092789248,large-cap
ENR,2054409600,mid-cap
ENS,3708572160,mid-cap
ENSG,6716165632,mid-cap
ENSV,5800617,micro-cap
ENTA,290154528,small-cap
ENTG,20751550464,large-cap
ENV,3417611008,mid-cap
ENVA,1697602048,small-cap
ENZ,53530856,micro-cap
EOG,77251510272,large-cap
EOLS,727338816,small-cap
EPAM,13780594688,large-cap
EPC,1869495168,small-cap
EPM,190864832,micro-cap
EPR,3093304064,mid-cap
EPRT,4608795136,mid-cap
EQBK,509496096,small-cap
EQC,2010431232,mid-cap
EQH,12200420352,large-cap
EQIX,67533352960,large-cap
EQR,24596996096,large-cap
EQT,18056695808,large-cap
ERIE,19843567616,large-cap
ERII,848475136,small-cap
ES,21069924352,large-cap
ESCA,183111744,micro-cap
ESE,2670579968,mid-cap
ESGR,4456615424,mid-cap
ESNT,5719665152,mid-cap
ESP,60716228,micro-cap
ESPR,375960960,small-cap
ESRT,2503447808,mid-cap
ESS,16466778112,large-cap
ESSA,164738192,micro-cap
ESTC,10498649088,large-cap
ETN,128605265920,large-cap
ETR,22781820928,large-cap
ETRN,5997531648,mid-cap
ETSY,8089560576,mid-cap
EVBG,1436889856,small-cap
EVBN,142121616,micro-cap
EVC,221286352,micro-cap
EVER,683224768,small-cap
EVFM,722628,micro-cap
EVH,3259381760,mid-cap
EVI,272117216,small-cap
EVOK,3916743,micro-cap
EVOL,11309139,micro-cap
EVR,7087228928,mid-cap
EVRG,12004228096,large-cap
EVRI,692009152,small-cap
EVTC,2450118400,mid-cap
EW,51709104128,large-cap
EWBC,10598161408,large-cap
EXAS,10922528768,large-cap
EXC,37250121728,large-cap
EXEL,6933696000,mid-cap
EXLS,4885654528,mid-cap
EXP,8846121984,mid-cap
EXPD,15912888320,large-cap
EXPE,17953130496,large-cap
EXPI,1527137792,small-cap
EXPO,4728334848,mid-cap
EXPR,3109395,micro-cap
EXR,29818456064,large-cap
EXTR,1472671104,small-cap
EYE,1392100864,small-cap
EYPT,910950912,small-cap
EZPW,610554752,small-cap
F,49054461952,large-cap
FAF,5583203328,mid-cap
FANG,36233256960,large-cap
FARM,65646756,micro-cap
FARO,356243456,small-cap
FAST,39173664768,large-cap
FATE,458545504,small-cap
FBIO,32890996,micro-cap
FBIZ,275185184,small-cap
FBK,1728169088,small-cap
FBMS,746211008,small-cap
FBNC,1264527360,small-cap
FBP,2904036096,mid-cap
FC,523078400,small-cap
FCAP,95583584,micro-cap
FCBC,613340416,small-cap
FCCO,127404304,micro-cap
FCEL,407225984,small-cap
FCF,1362771072,small-cap
FCFS,5174165504,mid-cap
FCN,7721837056,mid-cap
FCNCA,24526919680,large-cap
FCPT,2180951808,mid-cap
FCX,73303195648,large-cap
FDBC,266257456,small-cap
FDP,1229033088,small-cap
FDS,15991103488,large-cap
FDX,64825114624,large-cap
FE,22048020480,large-cap
FEIM,92027200,micro-cap
FELE,4563097088,mid-cap
FET,235847056,micro-cap
FF,238942688,micro-cap
FFBC,2122378112,mid-cap
FFIC,321208032,small-cap
FFIN,4263087360,mid-cap
FFIV,9704199168,mid-cap
FFNW,187066416,micro-cap
FFWM,324943424,small-cap
FGBI,131299352,micro-cap
FGEN,105452808,micro-cap
FHB,2739654144,mid-cap
FHN,8320094720,mid-cap
FI,90083688448,large-cap
FIBK,2823443968,mid-cap
FICO,28411109376,large-cap
FIS,38632095744,large-cap
FISI,267231360,small-cap
FITB,25136381952,large-cap
FIVE,8086418432,mid-cap
FIVN,4323618816,mid-cap
FIX,11141304320,large-cap
FIXX,3018744,micro-cap
FIZZ,4092899584,mid-cap
FL,1971629824,small-cap
FLIC,211741824,micro-cap
FLL,180906752,micro-cap
FLNT,41748448,micro-cap
FLO,5240221696,mid-cap
FLR,6872525312,mid-cap
FLS,6405247488,mid-cap
FLT,21790322688,large-cap
FLWS,591439360,small-cap
FLXS,182729808,micro-cap
FMAO,288391392,small-cap
FMBH,742485632,small-cap
FMC,7470297088,mid-cap
FMNB,447547136,small-cap
FN,6383379968,mid-cap
FNB,4851441152,mid-cap
FNCB,107662056,micro-cap
FND,11756806144,large-cap
FNF,13683760128,large-cap
FNKO,320764480,small-cap
FNLC,248219056,micro-cap
FNWB,103304232,micro-cap
FOLD,2995820288,mid-cap
FONR,102315240,micro-cap
FOR,1568430720,small-cap
FORD,5533660,micro-cap
FORM,3523302144,mid-cap
FORR,367299040,small-cap
FOSL,40114156,micro-cap
FOX,14233728000,large-cap
