Ticker,2023_PE,Gsector
CBAN,7.069103,Financial Services
CBAY,-30.933334,Healthcare
CBFV,9.763816,Financial Services
CBOE,20.027313,Financial Services
CBRE,15.822842,Real Estate
CBRL,11.490119,Consumer Cyclical
CBSH,15.801724,Financial Services
CBT,12.216074,Basic Materials
CBU,12.5172415,Financial Services
CBZ,23.164516,Industrials
CC,7.2877984,Basic Materials
CCBG,9.710432,Financial Services
CCI,36.859924,Real Estate
CCK,12.477105,Consumer Cyclical
CCL,10.517483,Consumer Cyclical
CCNE,7.9430385,Financial Services
CCO,-10.214285,Communication Services
CCOI,-20.932629,Communication Services
CCRN,14.554621,Healthcare
CCS,6.7933106,Consumer Cyclical
CDE,16.642857,Basic Materials
CDLX,31.9125,Communication Services
CDMO,-82.44444,Healthcare
CDNA,-17.978262,Healthcare
CDNS,40.629524,Technology
CDTX,-9.127819,Healthcare
CDW,21.450928,Technology
CDXC,72.6,Healthcare
CDXS,-4.470588,Healthcare
CDZI,-11.842106,Utilities
CE,11.242641,Basic Materials
CEI,,Energy
CEIX,6.259396,Energy
CELC,-4.7109146,Healthcare
CELH,46.915585,Consumer Defensive
CENT,16.626017,Consumer Defensive
CENTA,14.894515,Consumer Defensive
CENX,18.648937,Basic Materials
CERS,-28.583334,Healthcare
CETX,2.6363637,Technology
CEVA,40.61,Technology
CF,13.326633,Basic Materials
CFBK,8.338964,Financial Services
CFFI,,Financial Services
CFFN,9.846938,Financial Services
CFG,8.555693,Financial Services
CFR,12.479191,Financial Services
CGNX,35.243694,Technology
CHCI,,Real Estate
CHCO,13.981055,Financial Services
CHCT,29.622223,Real Estate
CHD,28.681818,Consumer Defensive
CHDN,16.764324,Consumer Cyclical
CHE,22.354471,Healthcare
CHEF,20.662577,Consumer Defensive
CHGG,4.857759,Consumer Defensive
CHH,17.17971,Consumer Cyclical
CHK,12.697803,Energy
CHMG,8.026316,Financial Services
CHMI,3.7824998,Real Estate
CHRS,51.625004,Healthcare
CHRW,18.021795,Industrials
CHTR,7.477694,Communication Services
CHUY,14.202831,Consumer Cyclical
CI,11.134873,Healthcare
CIA,,Financial Services
CIEN,14.968254,Technology
CIM,6.75,Real Estate
CINF,16.315788,Financial Services
CIO,-9.540816,Real Estate
CIVB,7.0731707,Financial Services
CIX,20.881987,Industrials
CIZN,,Financial Services
CKX,,Energy
CL,25.560055,Consumer Defensive
CLAR,22.553572,Consumer Cyclical
CLB,13.186991,Energy
CLDT,-926.00006,Real Estate
CLDX,-11.919095,Healthcare
CLF,10.888199,Basic Materials
CLFD,297.4,Technology
CLH,21.646534,Industrials
CLIR,27.84,Industrials
CLNE,47.899998,Energy
CLPR,10.575,Real Estate
CLRB,-1.0883392,Healthcare
CLRO,-1.3061429,Technology
CLW,9.635612,Basic Materials
CLX,23.154688,Consumer Defensive
CMA,8.351308,Financial Services
CMC,10.651575,Basic Materials
CMCO,12.345132,Industrials
CMCSA,8.45323,Communication Services
CMCT,6.3611107,Real Estate
CME,20.877254,Financial Services
CMG,47.889187,Consumer Cyclical
CMI,13.77574,Industrials
CMP,17.876713,Basic Materials
CMRX,-0.9782292,Healthcare
CMS,16.663889,Utilities
CMT,8.383929,Basic Materials
CMTL,2.9850745,Technology
CNA,8.299242,Financial Services
CNC,9.625,Healthcare
CNDT,-19.235294,Technology
CNFR,-12.594286,Financial Services
CNK,10.391566,Communication Services
CNMD,12.236364,Healthcare
CNNE,-35.945454,Consumer Cyclical
CNO,7.5404625,Financial Services
CNOB,8.521126,Financial Services
CNP,16.623562,
CNS,21.21854,Financial Services
CNSL,-2.8084414,Communication Services
CNTY,-13.590909,Consumer Cyclical
CNX,13.319445,Energy
CNXN,16.407793,Technology
CODA,15.204546,Industrials
COF,8.964043,Financial Services
COHN,,Financial Services
COHR,18.973244,Technology
COHU,17.895952,Technology
COKE,21.186184,Consumer Defensive
COLB,7.248077,Financial Services
COLD,56.69231,Real Estate
COLL,10.3978195,Healthcare
COLM,18.279177,Consumer Cyclical
COMM,2.6566665,Technology
CONN,19.210527,Consumer Cyclical
COO,22.56962,Healthcare
COOP,6.810225,Financial Services
COP,13.310559,Energy
COR,16.324915,Healthcare
CORR,0.09428572,Real Estate
CORT,18.453127,Healthcare
COST,41.458096,Consumer Defensive
COTY,20.245615,Consumer Defensive
CPB,13.996903,Consumer Defensive
CPE,5.1901307,Energy
CPF,8.557447,Financial Services
CPHC,,Consumer Cyclical
CPIX,12.0,Healthcare
CPK,16.807148,Utilities
CPRI,8.208333,Consumer Cyclical
CPRT,34.179012,Industrials
CPRX,10.598592,Healthcare
CPS,-10.648275,Consumer Cyclical
CPSH,,Technology
CPSI,4.994565,Healthcare
CPSS,10.240964,Financial Services
CPT,56.982956,Real Estate
CR,24.979204,Industrials
CRAI,22.377111,Industrials
CRBP,-7.017578,Healthcare
CRC,8.099547,Energy
CRI,10.718944,Consumer Cyclical
CRIS,-2.8437502,Healthcare
CRK,11.291208,Energy
CRL,18.509253,Healthcare
CRM,26.609922,Technology
CRMD,-58.999996,Healthcare
CRMT,14.953125,Consumer Cyclical
CRNX,-12.395481,Healthcare
CROX,9.385841,Consumer Cyclical
CRS,18.029287,Industrials
CRUS,14.603251,Technology
CRVL,,Financial Services
CRVS,-2.025974,Healthcare
CRWS,6.7105265,Consumer Cyclical
CSCO,13.494286,Technology
CSGP,72.125,Real Estate
CSGS,11.113164,Technology
CSL,17.895844,Industrials
CSPI,,Technology
CSTR,16.08,Financial Services
CSV,10.128406,Consumer Cyclical
CSWI,30.541191,Industrials
CSX,15.394496,Industrials
CTAS,40.60237,Industrials
CTBI,9.720554,Financial Services
CTHR,-5.606667,Consumer Cyclical
CTLT,36.940792,Healthcare
CTMX,-3.9166667,Healthcare
CTO,-33.980392,Real Estate
CTRE,22.080357,Real Estate
CTRN,182.25002,Consumer Cyclical
CTS,17.984674,Technology
CTSH,13.312626,Technology
CTSO,-4.0165,Healthcare
CUBE,22.594444,Real Estate
CUBI,6.4124827,Financial Services
CUE,-1.43,Healthcare
CULP,-23.050001,Consumer Cyclical
CURO,-0.13461539,Financial Services
CUTR,-0.69721216,Healthcare
CUZ,42.563637,Real Estate
CVBF,10.98,Financial Services
CVCO,16.680178,Consumer Cyclical
CVCY,7.3940516,Financial Services
CVGI,5.163793,Consumer Cyclical
CVGW,16.987097,Consumer Defensive
CVI,12.987531,Energy
CVLT,33.168224,Technology
CVLY,11.225,Financial Services
CVM,-2.908163,Healthcare
CVNA,-33.95661,Consumer Cyclical
CVR,,Industrials
CVS,7.392779,Healthcare
CVU,6.9505134,Industrials
CVV,11.073171,Industrials
CVX,12.342809,Energy
CW,23.347609,Industrials
CWBC,6.5373135,Financial Services
CWBR,-0.21938775,Healthcare
CWEN,,Utilities
CWH,9.652581,Consumer Cyclical
CWST,73.95935,Industrials
CWT,20.521097,Utilities
CXW,17.38372,Industrials
CYAN,,Consumer Defensive
CYCC,-0.09372999,Healthcare
CYH,14.152174,Healthcare
CYRX,-16.575,Industrials
CYTK,-18.613983,Healthcare
CZNC,9.806818,Financial Services
CZR,15.693618,Consumer Cyclical
CZWI,7.4113474,Financial Services
D,14.969117,Utilities
DAIO,9.632333,Technology
DAKT,11.862499,Technology
DAL,6.9437585,Industrials
DAN,8.171053,Consumer Cyclical
DAR,10.1023245,Consumer Defensive
DARE,-4.325,Healthcare
DBD,6.8869934,Technology
DBI,8.600917,Consumer Cyclical
DBX,10.990783,Technology
DCI,20.096416,Industrials
DCO,14.819293,Industrials
DCOM,6.7992697,Financial Services
DCPH,-16.0,Healthcare
DD,17.64748,Basic Materials
DDD,inf,Technology
DDS,14.069588,Consumer Cyclical
DE,14.387696,Industrials
DEA,46.3192,Real Estate
DECK,27.40692,Consumer Cyclical
DEI,-19.194443,Real Estate
DELL,14.736342,Technology
DENN,11.027027,Consumer Cyclical
DFIN,16.319122,Financial Services
DFS,9.759174,Financial Services
DG,16.980024,Consumer Defensive
DGICA,11.933036,Financial Services
DGII,13.590308,Technology
DGLY,-0.24118944,Communication Services
DGX,14.656811,Healthcare
DHI,9.343487,Consumer Cyclical
DHIL,,Financial Services
DHR,30.33827,Healthcare
DHX,10.326087,Technology
DIN,6.565789,Consumer Cyclical
DIOD,18.760815,Technology
DIS,21.55477,Communication Services
DIT,,Consumer Defensive
DJCO,,Technology
DK,20.15,Energy
DKS,14.146341,Consumer Cyclical
DLA,-3.30137,Consumer Cyclical
DLB,20.185896,Industrials
DLHC,11.252631,Industrials
DLR,112.11905,Real Estate
DLTH,-36.000004,Consumer Cyclical
DLTR,14.439412,Consumer Defensive
DLX,5.8994083,Communication Services
DMRC,-20.411215,Technology
DNLI,-5.945946,Healthcare
DNOW,13.361203,Industrials
DOC,33.41228,Real Estate
DOCU,16.075499,Technology
DOMO,-50.2,Technology
DOOR,13.356496,Industrials
DORM,14.343731,Consumer Cyclical
DOV,18.319096,Industrials
DOW,13.441859,Basic Materials
DPZ,30.14166,Consumer Cyclical
DRH,19.641304,Real Estate
DRI,16.096153,Consumer Cyclical
DRQ,20.554457,Energy
DRRX,-0.74650407,Healthcare
DSKE,55.266663,Industrials
DSS,-2.15025,Consumer Cyclical
DTE,15.338772,Utilities
DUK,15.508689,Utilities
DVA,13.775794,Healthcare
DVAX,22.68,Healthcare
DVN,9.073172,Energy
DWSN,-3.26,Energy
DX,117.799995,Real Estate
DXC,5.72063,Technology
DXCM,56.30531,Healthcare
DXLG,11.099999,Consumer Cyclical
DXPE,12.454774,Industrials
DXYN,2.12,Consumer Cyclical
DY,16.191742,Industrials
DZSI,1.5895523,Technology
EA,16.770805,Communication Services
EAF,167.5,Industrials
EARN,6.0636363,Financial Services
EAT,13.07561,Consumer Cyclical
EB,-266.25,Technology
EBAY,11.131411,Consumer Cyclical
EBF,14.141845,Industrials
EBMT,7.680723,Financial Services
EBS,0.5095368,Healthcare
EBTC,,Financial Services
ECL,31.470507,Basic Materials
ECPG,4.69898,Financial Services
ED,16.68393,Utilities
EDIT,-1.9324818,Healthcare
EDUC,5.1904764,Communication Services
EE,16.04717,Energy
EEFT,10.818607,Technology
EEX,-69.37501,Communication Services
EFC,6.67936,Real Estate
EFOI,-6.8636365,Consumer Cyclical
EFSC,8.563063,Financial Services
EFX,23.631798,Industrials
EGAN,19.515625,Technology
EGBN,7.405512,Financial Services
EGHT,5.111111,Technology
EGLE,8.493894,Industrials
EGP,32.00408,Real Estate
EGRX,1.1508621,Healthcare
EGY,6.9,Energy
EHC,18.31718,Healthcare
EHTH,87.799995,Financial Services
EIG,11.678474,Financial Services
EIGR,-0.4791667,Healthcare
EIX,12.680358,Utilities
EKSO,-5.541667,Healthcare
EL,34.247673,Consumer Defensive
ELAN,12.702831,Healthcare
ELF,48.045616,Consumer Defensive
ELMD,26.766665,Healthcare
ELOX,-1.4225353,Healthcare
ELS,32.446236,Real Estate
ELSE,,Technology
EME,21.10246,Industrials
EMKR,-13.65,Technology
EML,,Industrials
EMN,10.6552105,Basic Materials
EMR,18.709898,Industrials
ENG,7.2083335,Industrials
ENPH,21.619143,Technology
