Ticker,2020_2021_NI_Grow,2021_2022_NI_Grow,2022_2023_NI_Grow,2023_PE
CAH,-116.5314,-252.7005,-127.9743,13.036802
CAKE,-128.5647,-40.4156,135.0277,10.128281
CAL,,-131.2035,32.64,7.3980002
CALA,27.6812,-65.5481,,-0.014814815
CALM,-88.7989,6339.3204,471.4467,24.21179
CALX,611.9161,-82.7962,-28.4931,21.984253
CAMP,,-50.2904,16.073,3.2777777
CAPR,46.6096,44.9345,-23.1981,52.800003
CAR,-287.8655,115.0973,-40.9551,5.6961584
CARA,-1151.6171,-3.3548,38.6539,-0.725
CARG,40.8637,-22.7537,-56.2231,14.619355
CARS,-101.3206,59.4477,588.3761,24.529411
CASA,-87.0691,-2569.7537,,-0.175
CASH,35.3209,10.3579,4.6225,7.6288657
CASI,-24.0914,11.895,-34.32,6.882353
CASS,13.6161,22.0249,-13.8809,14.177631
CASY,,8.5938,31.4609,22.845879
CAT,116.4443,3.3287,54.1387,15.039138
CATC,69.0416,-2.0639,-35.5327,10.0672
CATO,,-177.5941,-99.9213,3.7
CATY,30.3434,20.8975,-1.8073,8.354241
CB,141.2963,-38.4633,72.093,10.56459
CBAN,57.9264,4.7323,11.2834,7.069103
CBAY,76.5151,17.7815,-0.5953,-30.933334
CBFV,-208.7406,-2.7917,100.4979,9.763816
CBOE,12.9859,-55.5766,224.0,20.027313
CBRE,144.2855,-23.4077,-29.9218,15.822842
CBRL,-883.7198,-48.1834,-24.8938,11.490119
CBSH,49.9095,-7.9821,-2.3217,15.801724
CBT,-205.042,-16.4,112.9187,12.216074
CBU,15.1923,-0.8503,-29.8579,12.5172415
CBZ,-9.4663,48.6225,14.8205,23.164516
CC,177.6256,-4.9342,-141.1765,7.2877984
CCBG,5.7639,0.0479,56.4049,9.710432
CCI,3.7879,52.8285,-10.3284,36.859924
CCK,-196.7185,-229.8214,-38.1018,12.477105
CCL,-7.1805,-35.8699,-98.7855,10.517483
CCNE,76.2423,9.498,-8.1788,7.9430385
CCO,-25.5559,-77.7315,221.8521,-10.214285
CCOI,675.177,-89.3203,24646.2301,-20.932629
